City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
578,Boyolangu,ID,81.81,overcast clouds,-8.1181,111.8935,Yos ega cv
582,Tamandare,BR,79.29,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
587,Deniliquin,AU,75.0,overcast clouds,-35.5333,144.9667,Riviana Motel
591,Itarema,BR,75.9,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
593,Oistins,BB,75.29,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
594,Ruangwa,TZ,80.65,light rain,-10.0667,38.9333,Bariadi Inn & lodge
597,Lodja,CD,79.0,overcast clouds,-3.4833,23.4333,
601,Porbandar,IN,81.43,scattered clouds,21.6422,69.6093,Lords Inn Porbandar
607,Uige,AO,77.16,scattered clouds,-7.6087,15.0613,Hotel Catraio
610,Bitam,GA,77.02,overcast clouds,2.076,11.5007,Bénédicta hôtel
617,Kuala Terengganu,MY,75.56,heavy intensity rain,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
622,Bangui,CF,89.19,broken clouds,4.3612,18.555,SAM HOTEL
623,Watsa,CD,85.48,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
626,Anloga,GH,81.03,clear sky,5.7947,0.8973,Pin Drop Hotel
627,Lorengau,PG,82.35,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
629,Kintinku,TZ,78.06,light rain,-5.8833,35.2333,
632,Marzuq,YE,78.03,overcast clouds,14.4,46.4667,
633,Coolum Beach,AU,80.11,few clouds,-26.5333,153.1,Coolum Beach Resort
634,Swan Hill,AU,81.84,broken clouds,-35.3378,143.5544,Lazy River Motor Inn
637,Daru,PG,82.11,overcast clouds,-9.0763,143.2092,Daru Lodge
639,Salalah,OM,76.23,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
643,San Andres,CO,78.82,few clouds,12.5847,-81.7006,Hotel Arena Blanca
646,Bonthe,SL,75.81,few clouds,7.5264,-12.505,Bonthe Holiday Village
658,Maridi,SS,87.94,overcast clouds,4.9158,29.4742,
660,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
670,Salinopolis,BR,76.14,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
671,Tagusao,PH,83.08,overcast clouds,9.1924,117.8141,Green Villa beach resort
