City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
258,Terpinnya,UA,46.9697,35.4197,45.39,66,89,14.43,overcast clouds
259,Nova Esperanca,BR,4.438,-61.1151,67.53,89,32,4.21,scattered clouds
260,Kazachinskoye,RU,57.6953,93.2761,1.92,83,99,3.76,overcast clouds
261,Manokwari,ID,-0.8667,134.0833,80.71,80,98,3.87,overcast clouds
262,Bowen,AU,-20.0167,148.2333,81.7,58,38,15.23,scattered clouds
263,Norman Wells,CA,65.282,-126.8329,-15.9,92,100,2.91,overcast clouds
264,Mogilno,PL,52.6581,17.9558,38.19,94,100,6.22,overcast clouds
265,Ostrovnoy,RU,68.0531,39.5131,22.33,87,100,15.7,overcast clouds
266,Domoni,KM,-12.2569,44.5319,78.73,85,100,5.46,moderate rain
267,Alofi,NU,-19.0595,-169.9187,81.57,74,95,15.97,overcast clouds
268,Preobrazheniye,RU,42.9019,133.9064,30.07,77,100,3.29,overcast clouds
269,Bereda,ES,43.2686,-7.5406,46.58,100,99,5.01,overcast clouds
270,Loa Janan,ID,-0.583,117.095,76.19,94,100,0.51,overcast clouds
271,Broome,US,42.2506,-75.833,32.0,60,0,9.22,clear sky
272,Champerico,GT,14.3,-91.9167,80.35,77,3,4.18,clear sky
273,Georgetown,MY,5.4112,100.3354,84.13,70,40,3.44,light rain
274,Hobyo,SO,5.3505,48.5268,81.43,51,2,22.88,clear sky
275,Kermanshah,IR,34.3142,47.065,43.7,61,100,11.5,overcast clouds
276,Faya,SA,18.3851,42.4509,66.72,52,18,7.43,few clouds
277,Slave Lake,CA,55.2834,-114.769,30.34,75,99,17.02,light snow
278,Doha,QA,25.2867,51.5333,71.58,68,0,16.11,clear sky
279,Alamos,MX,27.0167,-108.9333,58.17,47,0,2.71,clear sky
280,Puro,PH,12.4841,123.3827,81.99,69,99,14.36,overcast clouds
281,Shenjiamen,CN,29.9576,122.298,45.68,81,100,15.21,light rain
282,Pacific Grove,US,36.6177,-121.9166,62.71,53,0,9.22,clear sky
283,Mount Darwin,ZW,-16.7725,31.5838,74.82,73,100,7.54,light rain
284,Turbo,CO,8.0937,-76.7269,76.89,90,96,8.46,overcast clouds
285,Moranbah,AU,-22.0016,148.0466,91.53,23,0,13.58,clear sky
286,Coffs Harbour,AU,-30.3,153.1333,76.96,65,75,20.71,broken clouds
287,Laguna,US,38.421,-121.4238,61.95,79,0,5.75,clear sky
288,Datong,CN,40.0936,113.2914,33.06,34,100,3.18,overcast clouds
289,Roald,NO,62.5833,6.1333,33.94,55,75,14.97,broken clouds
290,Azare,NG,11.6765,10.1948,67.68,24,1,14.05,clear sky
291,Jiangkou,CN,25.4872,119.1986,61.48,75,24,10.76,few clouds
292,Khilok,RU,51.3674,110.4676,-1.44,78,100,6.96,overcast clouds
293,Birao,CF,10.2849,22.7882,77.95,10,12,13.35,few clouds
294,Severo-Kurilsk,RU,50.6789,156.125,25.48,80,96,2.62,overcast clouds
295,Pangnirtung,CA,66.1451,-65.7125,-2.29,95,100,9.55,light snow
296,Hamilton,US,39.1834,-84.5333,36.23,76,94,1.01,overcast clouds
297,Maceio,BR,-9.6658,-35.7353,74.64,88,0,3.44,clear sky
298,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.44,96,100,6.26,light rain
299,Mantua,IT,45.1667,10.7833,48.74,85,100,3.0,overcast clouds
300,Millinocket,US,45.6573,-68.7098,33.82,80,100,9.22,overcast clouds
301,Bintulu,MY,3.1667,113.0333,79.88,86,93,3.91,overcast clouds
302,Providencia,MX,28.7167,-111.5833,59.85,40,0,2.46,clear sky
303,Nador,MA,35.174,-2.9287,50.25,87,75,4.61,broken clouds
304,Khorinsk,RU,52.1657,109.7726,-3.8,80,77,3.4,broken clouds
305,Mana,GF,5.6592,-53.7767,74.46,89,46,5.88,scattered clouds
306,Singtam,IN,27.2333,88.5,67.41,54,20,5.59,few clouds
307,Biak,ID,-0.9131,122.8766,81.46,74,97,0.72,overcast clouds
308,Naze,JP,28.3667,129.4833,57.56,60,93,10.83,overcast clouds
309,Bealanana,MG,-14.55,48.7333,78.12,64,100,2.59,overcast clouds
310,Esperance,AU,-33.8667,121.9,111.04,31,16,8.48,few clouds
311,Dharmabad,IN,18.9,77.85,83.37,24,1,6.91,clear sky
312,Lompoc,US,34.6391,-120.4579,64.18,44,0,5.55,clear sky
313,Coahuayana,MX,18.7333,-103.6833,64.04,58,0,5.12,clear sky
314,Cap Malheureux,MU,-19.9842,57.6142,81.46,74,13,3.0,few clouds
315,Ati,TD,13.2154,18.3353,71.47,12,0,14.12,clear sky
316,Auras,IN,26.9167,80.5167,69.75,32,0,16.75,clear sky
317,Alyangula,AU,-13.8483,136.4192,86.65,61,32,5.3,scattered clouds
